publisher,journal_title,acronym,issn,eissn,oa_model,subject_area,imprint,scope,journal_url,index_wos,scopus_covered,jif_2024,jif_quartile,citescore_2024,citescore_quartile,sjr_2024,sjr_quartile,best_quartile,quartile_basis,list_context,source_file,source_sheet,source_row
IEEE,IEEE Access,ACCESS,2169-3536,2169-3536,Full Open Access,,,,,SCIE,,3.6,Q2,9,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,3
IEEE,IEEE Data Descriptions,IEEEDATA,,2995-4274,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,4
IEEE,IEEE Journal of Indoor and Seamless Positioning and Navigation,J-ISPIN,,2832-7322,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,5
IEEE,IEEE Journal of Microwaves,JMW,,2692-8388,Full Open Access,,,,,ESCI,,4.9,Q1,14.8,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,6
IEEE,IEEE Journal of Selected Areas in Sensors,JSAS,,2836-2071,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,7
IEEE,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,J-STARS,1939-1404,2151-1535,Full Open Access,,,,,SCIE,,5.3,Q1,9.3,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,8
IEEE,"IEEE Journal of Selected Topics in Electromagnetics, Antennas and Propagation NEW for 2025!",JSTEAP,,3066-2494,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,9
IEEE,IEEE Journal of the Electron Devices Society,JEDS,2168-6734,2168-6734,Full Open Access,,,,,SCIE,,2.4,Q3,5,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,10
IEEE,IEEE Journal of Translational Engineering in Health and Medicine,JTEHM,2168-2372,2168-2372,Full Open Access,,,,,SCIE,,4.4,Q2,8.7,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,11
IEEE,IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,JXCDC,2329-9231,2329-9231,Full Open Access,,,,,ESCI,,2.7,Q2,5.1,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,12
