publisher,journal_title,issn,eissn,journal_url,subject_area,scope,oa_model,fee_route,institution,apc_payable,other_fees,eligibility,agreement_start,agreement_end,annual_cap,article_types,evidence_status,record_status,source_url,policy_url,checked_on,source_updated,source_file,source_row,license,languages,country,doaj_url,instructions_url,apc_information_url,other_fees_url,source_record_id,notes
"""1 Decembrie 1918"" University of Alba Iulia",Incursiuni în imaginar,2501-2169,2601-5137,https://inimag.uab.ro/index.php?pagina=-&id=&l=en,Language and Literature,"comparative literature, social studies, historical studies, religious studies, imaginary, theory of mentalities",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,https://inimag.uab.ro/index.php?pagina=-&id=2&l=en,2026-09-19,2026-08-17T18:55:08Z,no_apc_open_access.csv,2,CC BY-NC,"Romanian, Spanish, French, English",Romania,https://doaj.org/toc/d3af58e0c8c241ba88b76df8a995b109,https://inimag.uab.ro/index.php?pagina=pg&id=6&l=en,https://inimag.uab.ro/index.php?pagina=-&id=2&l=en,,d3af58e0c8c241ba88b76df8a995b109,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""Alexandru Ioan Cuza"" University of Iași",Historia Universitatis Iassiensis,2285-9071,2558-9113,http://hui.uaic.ro/,Education: History of education | History (General) and history of Europe,"academic history, history of education, history of intellectual life, academic museology",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,http://hui.uaic.ro/policies/#submissionCharges,2026-09-19,2022-08-18T10:11:26Z,no_apc_open_access.csv,3,CC BY-SA,"Russian, Romanian, Italian, German, French, English",Romania,https://doaj.org/toc/a8b8f4a56e7346748fc4e4b82ed43355,http://hui.uaic.ro/submissions/,http://hui.uaic.ro/policies/#submissionCharges,,a8b8f4a56e7346748fc4e4b82ed43355,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""Alexandru Ioan Cuza"" University of Iași",Journal of Experimental and Molecular Biology,,2601-6974,http://www.jemb.bio.uaic.ro,Science: Biology (General),"biochemistry, molecular biology, genetics, biology, animal biology, plant biology",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,http://www.jemb.bio.uaic.ro/index.php/jemb/fees,2026-09-19,2024-03-28T13:41:13Z,no_apc_open_access.csv,4,CC BY,English,Romania,https://doaj.org/toc/78a65ffde15d41b1a9e71560915ea168,http://www.jemb.bio.uaic.ro/index.php/jemb/about/submissions#authorGuidelines,http://www.jemb.bio.uaic.ro/index.php/jemb/fees,,78a65ffde15d41b1a9e71560915ea168,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""Consilium Medicum"" Publishing house",Терапевтический архив,0040-3660,2309-5342,http://ter-arkhiv.ru/en/,Medicine,"therapy, clinical medicine",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,http://ter-arkhiv.ru/en/avtoram/,2026-09-19,2023-02-12T22:58:41Z,no_apc_open_access.csv,5,CC BY-NC,Russian,Russian Federation,https://doaj.org/toc/88611330e10a4e65b45cf568a8bd4b68,http://ter-arkhiv.ru/en/avtoram/,http://ter-arkhiv.ru/en/avtoram/,,88611330e10a4e65b45cf568a8bd4b68,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""George Emil Palade"" University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Acta Biologica Marisiensis,2601-6141,2668-5124,https://abmj.ro/,Science: Botany,"biochemistry, botany, biotechnology, molecular biology, natural products, medicinal plants",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,https://abmj.ro/instructions-for-authors/submissions-guidelines/,2026-09-19,2025-09-24T22:46:42Z,no_apc_open_access.csv,6,CC BY-NC-ND,English,Romania,https://doaj.org/toc/bc1c82c79bfa4c5baee199abc6d6da5a,https://abmj.ro/instructions-for-authors/submissions-guidelines/,https://abmj.ro/instructions-for-authors/submissions-guidelines/,,bc1c82c79bfa4c5baee199abc6d6da5a,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""George Emil Palade"" University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Acta Stomatologica Marisiensis,2601-6877,2668-6813,https://asmj.ro,Medicine: Dentistry,"dentistry, oral rehabilitation, interdisciplinarity, dental materials",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,https://asmj.ro/instructions-for-authors/submissions-guidelines/,2026-09-19,2024-04-16T07:34:46Z,no_apc_open_access.csv,7,CC BY-NC-ND,English,Romania,https://doaj.org/toc/457ab057ca7e402db53e69918a621d96,https://asmj.ro/instructions-for-authors/submissions-guidelines/,https://asmj.ro/instructions-for-authors/submissions-guidelines/,,457ab057ca7e402db53e69918a621d96,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""Henri Coandă"" Air Force Academy",Review of the Air Force Academy,1842-9238,2069-4733,https://www.afahc.ro/ro/revista/revista.html,Social Sciences: Transportation and communications | Technology: Motor vehicles. Aeronautics. Astronautics,"aerospace engineering, air traffic management, flight operation systems, aircraft performances, logistics and aeronautical management, air force",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,https://www.afahc.ro/ro/revista/revista.html,2026-09-19,2023-10-17T07:33:40Z,no_apc_open_access.csv,8,CC BY,English,Romania,https://doaj.org/toc/1262d2fb90b34a4e8a36ae9dce94eb78,https://www.afahc.ro/ro/revista/review_notes.pdf,https://www.afahc.ro/ro/revista/revista.html,,1262d2fb90b34a4e8a36ae9dce94eb78,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""Ion Creanga"" State Pedagogical University",Acta et Commentationes: Ştiinţe Exacte şi ale Naturii,2537-6284,2587-3644,https://revistaust.upsc.md/index.php/acta_exacte/index,Science,"mathematics, chemistry, biology",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,https://revistaust.upsc.md/index.php/acta_exacte/instructiuni_de_tehnoredactare,2026-09-19,2024-12-20T10:43:58Z,no_apc_open_access.csv,9,CC BY-NC,English,"Moldova, Republic of",https://doaj.org/toc/9b3fe8ac2ec14fa990bc632caeea0d05,https://revistaust.upsc.md/index.php/acta_exacte/instructiuni_de_tehnoredactare,https://revistaust.upsc.md/index.php/acta_exacte/instructiuni_de_tehnoredactare,,9b3fe8ac2ec14fa990bc632caeea0d05,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""Ion Ionescu de la Brad"" Iasi University of Life Sciences",Journal of Applied Life Sciences and Environment,2784-0379,2784-0360,https://jurnalalse.iuls.ro,Geography. Anthropology. Recreation: Environmental sciences | Agriculture,"agri-environmental systems, food science, horticulture, agronomy, animal science",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,https://jurnalalse.iuls.ro/about-the-journal/,2026-09-19,2026-05-26T07:08:12Z,no_apc_open_access.csv,10,CC BY,English,Romania,https://doaj.org/toc/1c357ec92ce34854a7d03a9c4c25db1a,https://jurnalalse.iuls.ro/instructions-for-authors,https://jurnalalse.iuls.ro/about-the-journal/,,1c357ec92ce34854a7d03a9c4c25db1a,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
"""Ion Mincu"" University Publishing House",Journal of Urban and Landscape Planning,,2559-4141,https://www.julpreview.ro/,Fine Arts: Architecture,"territorial development, urban planning, spatial planning, landscape planning",Open access,no_apc_oa,any,0,no,No affiliation condition in DOAJ fee record; check current author policy.,,,,,source_reported,listed,https://doaj.org/csv,https://www.julpreview.ro/submit-a-paper.html,2026-09-19,2025-09-10T10:22:05Z,no_apc_open_access.csv,11,CC BY,English,Romania,https://doaj.org/toc/9b20d09433c5416289b189b59a9a2eec,https://www.julpreview.ro/submit-a-paper.html,https://www.julpreview.ro/submit-a-paper.html,,9b20d09433c5416289b189b59a9a2eec,"DOAJ journal metadata CC BY-SA 4.0; export dated 2026-08-19, retrieved 2026-09-19. Journal policy not individually rechecked."
