publisher,journal_title,issn,eissn,journal_url,subject_area,scope,oa_model,fee_route,institution,apc_payable,other_fees,eligibility,agreement_start,agreement_end,annual_cap,article_types,evidence_status,record_status,source_url,policy_url,checked_on,source_updated,source_file,source_row,license,languages,country,doaj_url,instructions_url,apc_information_url,other_fees_url,source_record_id,notes
American Institute of Physics,Journal of Applied Physics,,,https://pubs.aip.org/aip/jap,,,Subscribe to Open,s2o,any,0,unknown,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Check author guidelines,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://pubs.aip.org/aip/jap,2026-09-19,,subscribe_to_open.csv,2,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees.
American Institute of Physics,Physics of Plasmas,,,https://pubs.aip.org/aip/pop,,,Subscribe to Open,s2o,any,0,unknown,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Check author guidelines,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://pubs.aip.org/aip/pop,2026-09-19,,subscribe_to_open.csv,3,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees.
American Society for Microbiology,Antimicrobial Agents and Chemotherapy,,,https://journals.asm.org/journal/aac,,,Subscribe to Open,s2o,any,0,possible,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Check author guidelines,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://journals.asm.org/journal/aac,2026-09-19,,subscribe_to_open.csv,4,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees.
American Society for Microbiology,Applied and Environmental Microbiology,,,https://journals.asm.org/journal/aem,,,Subscribe to Open,s2o,any,0,possible,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Check author guidelines,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://journals.asm.org/journal/aem,2026-09-19,,subscribe_to_open.csv,5,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees.
American Society for Microbiology,Infection and Immunity,,,https://journals.asm.org/journal/iai,,,Subscribe to Open,s2o,any,0,possible,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Check author guidelines,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://journals.asm.org/journal/iai,2026-09-19,,subscribe_to_open.csv,6,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees.
American Society for Microbiology,Journal of Bacteriology,,,https://journals.asm.org/journal/jb,,,Subscribe to Open,s2o,any,0,possible,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Check author guidelines,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://journals.asm.org/journal/jb,2026-09-19,,subscribe_to_open.csv,7,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees.
American Society for Microbiology,Journal of Clinical Microbiology,,,https://journals.asm.org/journal/jcm,,,Subscribe to Open,s2o,any,0,possible,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Check author guidelines,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://journals.asm.org/journal/jcm,2026-09-19,,subscribe_to_open.csv,8,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees.
American Society for Microbiology,Journal of Virology,,,https://journals.asm.org/journal/jvi,,,Subscribe to Open,s2o,any,0,possible,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Check author guidelines,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://journals.asm.org/journal/jvi,2026-09-19,,subscribe_to_open.csv,9,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees.
Annual Reviews,Annual Review of Animal Biosciences,,,https://www.annualreviews.org/content/journals/animal,,,Subscribe to Open,s2o,any,0,unknown,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Review; invitation/proposal requirements must be checked,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://www.annualreviews.org/content/journals/animal,2026-09-19,,subscribe_to_open.csv,10,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees. Not a routine original-research venue.
Annual Reviews,Annual Review of Anthropology,,,https://www.annualreviews.org/content/journals/anthro,,,Subscribe to Open,s2o,any,0,unknown,Check year/volume opening; no UF-only restriction inferred from library sponsorship.,,,,Review; invitation/proposal requirements must be checked,institution_title_list,listed,https://guides.uflib.ufl.edu/openaccess/ufinvests,https://www.annualreviews.org/content/journals/anthro,2026-09-19,,subscribe_to_open.csv,11,,,,,,,,,UF-supported S2O list; annual opening depends on subscriptions; verify current volume and author fees. Not a routine original-research venue.
