publisher,journal_title,issn,eissn,journal_url,subject_area,scope,oa_model,fee_route,institution,apc_payable,other_fees,eligibility,agreement_start,agreement_end,annual_cap,article_types,evidence_status,record_status,source_url,policy_url,checked_on,source_updated,source_file,source_row,license,languages,country,doaj_url,instructions_url,apc_information_url,other_fees_url,source_record_id,notes
Elsevier,Accident Analysis & Prevention,0001-4575,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,2,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Acta Astronautica,0094-5765,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,3,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Acta Biomaterialia,1742-7061,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,4,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Acta Histochemica,0065-1281,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,5,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Acta Materialia,1359-6454,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,6,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Ad Hoc Networks,1570-8705,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,7,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Additive Manufacturing,2214-8604,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,8,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Advanced Drug Delivery Reviews,0169-409X,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,9,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Advanced Engineering Informatics,1474-0346,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,10,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
Elsevier,Advanced Powder Technology,0921-8831,,,,,Hybrid,subscription_no_apc,any,0,unknown,Choose subscription publication; confirm journal remains hybrid and check ancillary fees.,,,,,legacy_title_list_plus_current_policy,listed,https://www.elsevier.com/about/policies-and-standards/pricing,https://www.elsevier.com/about/policies-and-standards/pricing,2026-09-19,2025,subscription_no_apc.csv,11,,,,,,,,,Title/model from MUJ 2025 sheet; current publisher policy permits no-cost subscription route. Current title policy must be rechecked.
